m,n,k,kernel,custom_ms,custom_gflops,cublas_ms,cublas_gflops,ratio_pct,valid,max_abs,max_rel
128,128,128,fast_128x128x8,0.0282624,148.406,0.0088576,473.526,31.3406,1,3.33786e-06,0.000488524
256,256,256,fast_128x128x8,0.050176,668.735,0.017152,1956.3,34.1837,1,5.72205e-06,0.0019744
384,384,384,fast_128x128x8,0.0723968,1564.24,0.0329216,3439.88,45.4738,1,2.09808e-05,0.00630692
512,512,512,fast_128x128x8,0.0996352,2694.18,0.0600064,4473.45,60.2261,1,5.72205e-06,0.00313111
768,768,768,fast_128x128x8,0.27735,3266.52,0.157696,5745.04,56.858,1,1.04904e-05,0.00667572
1024,1024,1024,fast_128x128x8,0.556902,3856.12,0.38441,5586.45,69.0264,1,1.54972e-05,0.00748783
1536,1536,1536,fast_128x128x8,1.36771,5299.21,1.09066,6645.28,79.7439,1,1.16825e-05,0.00303984
2048,2048,2048,fast_128x128x8,2.47613,6938.18,2.17185,7910.24,87.7114,1,2.38419e-07,7.45058e-06
3072,3072,3072,fast_128x128x8,8.54057,6789.02,7.52604,7704.19,88.1211,1,1.72853e-05,0.00831485
4096,4096,4096,fast_128x128x8,19.9019,6905.82,17.4362,7882.39,87.6108,1,1.90735e-05,0.00588596
128,4096,4096,fast_64x128x8,0.852685,5036.99,0.530944,8089.3,62.2673,1,1.50204e-05,0.00432134
256,4096,4096,fast_64x128x8,1.30693,6572.6,1.19588,7182.95,91.5028,1,4.76837e-07,7.45058e-06
512,4096,4096,fast_64x128x8,2.45545,6996.63,2.14456,8010.89,87.3389,1,1.45435e-05,0.00499189
1024,4096,4096,fast_64x128x8,4.85591,7075.86,4.22103,8140.13,86.9256,1,1.52588e-05,0.00710785
4096,128,4096,fast_128x64x8,0.896614,4790.21,0.519526,8267.08,57.9431,1,4.05312e-05,0.0145137
4096,256,4096,fast_128x64x8,1.39489,6158.13,1.04817,8195.2,75.1431,1,2.67029e-05,0.0175387
4096,512,4096,fast_128x64x8,2.50209,6866.2,2.1332,8053.58,85.2565,1,2.57492e-05,0.0129636
4096,1024,4096,fast_128x64x8,4.97546,6905.84,4.39926,7810.35,88.4191,1,2.38419e-07,1.11759e-05
256,11008,4096,fast_64x128x8,3.20102,7211.9,2.93238,7872.6,91.6075,1,4.76837e-07,7.45058e-06
512,11008,4096,fast_64x128x8,6.37624,7241.08,5.44932,8472.78,85.4628,1,1.72257e-05,0.00947714
1024,11008,4096,fast_64x128x8,12.7488,7243.18,10.9355,8444.22,85.7767,1,1.85966e-05,0.01131
2048,11008,4096,fast_64x128x8,25.4184,7265.75,22.1323,8344.54,87.0719,1,1.87159e-05,0.0130311
4096,11008,4096,fast_64x128x8,52.1223,7086.55,44.4304,8313.38,85.2426,1,1.95205e-05,0.0121295
256,4096,11008,fast_64x128x8,3.58917,6431.97,2.55396,9039.09,71.1573,1,2.76566e-05,0.0110551
512,4096,11008,fast_64x128x8,6.611,6983.96,5.12517,9008.65,77.525,1,2.69413e-05,0.0116552
1024,4096,11008,fast_64x128x8,13.2115,6989.5,9.75621,9464.92,73.8464,1,2.88486e-05,0.0121221
2048,4096,11008,fast_64x128x8,25.749,7172.45,19.9964,9235.86,77.6587,1,4.76837e-07,1.11759e-05
4096,4096,11008,fast_128x128x8,52.7865,6997.37,40.023,9228.86,75.8205,1,4.76837e-07,1.29446e-05
1024,3072,4096,fast_64x128x8,3.59972,7158.84,3.08301,8358.66,85.6458,1,1.57356e-05,0.00712275
2048,3072,4096,fast_128x128x8,7.34853,7013.59,6.17288,8349.37,84.0015,1,1.71661e-05,0.011012
3072,1024,4096,fast_128x64x8,3.63633,7086.77,3.23476,7966.52,88.9569,1,4.76837e-07,7.45058e-06
3072,2048,4096,fast_128x128x8,7.29882,7061.37,6.47127,7964.37,88.6619,1,4.76837e-07,9.31828e-06
4096,3072,11008,fast_128x128x8,39.526,7008.68,29.342,9441.26,74.2346,1,4.76837e-07,7.45058e-06
127,255,63,edge_16x16,0.0107008,381.328,0.0085504,477.23,79.9043,1,2.38419e-07,7.45058e-06
511,769,257,edge_16x16,0.327731,616.301,0.0451584,4472.72,13.7791,1,4.29153e-06,0.00119768
1000,1000,1000,edge_16x16,2.57925,775.419,0.364595,5485.54,14.1357,1,7.62939e-06,0.00372902
1537,1025,769,edge_16x16,3.13718,772.351,0.462694,5236.73,14.7487,1,1.52588e-05,0.00454113
33,65,17,edge_16x16,0.0060464,12.0617,0.0070656,10.3218,116.856,1,1.19209e-07,5.38113e-06
